Uniqucode	07TWYA1	07TWYA2	07TWYA3	07TWYC1	07TWYC2	07TWYC3	07TWYE1	07TWYE2	07TWYE3	07BLNA1	07BLNA2	07BLNA3	07BLNB1	07BLNB2	07BLNB3	07BLNC1	07BLNC2	07BLNC3	07BLND1	07BLND2	07BLND3	07BLNE1	07BLNE2	07BLNE3	07BLSB1	07BLSB2	07BLSB3	07BLSC1	07BLSC2	07BLSC3	07BLSD1	07BLSD2	07BLSD3	07BLSE1	07BLSE2	07BLSE3	07KNEB1	07KNEB2	07KNEB3	07KNEC1	07KNEC2	07KNEC3	07KNED1	07KNED2	07KNED3	07KNEE1	07KNEE2	07KNEE3	07MAWA1	07MAWA2	07MAWA3	07MAWB1	07MAWB2	07MAWB3	07MAWC1	07MAWC2	07MAWC3	07MAWE1	07MAWE2	07MAWE3	07CLCB1	07CLCB2	07CLCB3	07CLCD1	07CLCD2	07CLCD3	07CLCE1	07CLCE2	07CLCE3	07CTBA1	07CTBA2	07CTBA3	07CTBB1	07CTBB2	07CTBB3	07CTBC1	07CTBC2	07CTBC3	07CTBD1	07CTBD2	07CTBD3	07CTBE1	07CTBE2	07CTBE3	13TWYA1	13TWYA2	13TWYA3	13TWYC1	13TWYC2	13TWYC3	13TWYE1	13TWYE2	13TWYE3	13BLNA1	13BLNA2	13BLNA3	13BLNB1	13BLNB2	13BLNB3	13BLNC1	13BLNC2	13BLNC3	13BLND1	13BLND2	13BLND3	13BLNE1	13BLNE2	13BLNE3	13BLSB1	13BLSB2	13BLSB3	13BLSC1	13BLSC2	13BLSC3	13BLSD1	13BLSD2	13BLSD3	13BLSE1	13BLSE2	13BLSE3	13KNEB1	13KNEB2	13KNEB3	13KNEC1	13KNEC2	13KNEC3	13KNED1	13KNED2	13KNED3	13KNEE1	13KNEE2	13KNEE3	13MAWA1	13MAWA2	13MAWA3	13MAWB1	13MAWB2	13MAWB3	13MAWC1	13MAWC2	13MAWC3	13MAWE1	13MAWE2	13MAWE3	13CLCB1	13CLCB2	13CLCB3	13CLCD1	13CLCD2	13CLCD3	13CLCE1	13CLCE2	13CLCE3	13CTBA1	13CTBA2	13CTBA3	13CTBB1	13CTBB2	13CTBB3	13CTBC1	13CTBC2	13CTBC3	13CTBD1	13CTBD2	13CTBD3	13CTBE1	13CTBE2	13CTBE3	20TWYA1	20TWYA2	20TWYA3	20TWYC1	20TWYC2	20TWYC3	20TWYE1	20TWYE2	20TWYE3	20BLNA1	20BLNA2	20BLNA3	20BLNB1	20BLNB2	20BLNB3	20BLNC1	20BLNC2	20BLNC3	20BLND1	20BLND2	20BLND3	20BLNE1	20BLNE2	20BLNE3	20BLSB1	20BLSB2	20BLSB3	20BLSC1	20BLSC2	20BLSC3	20BLSD1	20BLSD2	20BLSD3	20BLSE1	20BLSE2	20BLSE3	20KNEB1	20KNEB2	20KNEB3	20KNEC1	20KNEC2	20KNEC3	20KNED1	20KNED2	20KNED3	20KNEE1	20KNEE2	20KNEE3	20MAWA1	20MAWA2	20MAWA3	20MAWB1	20MAWB2	20MAWB3	20MAWC1	20MAWC2	20MAWC3	20MAWE1	20MAWE2	20MAWE3	20CLCB1	20CLCB2	20CLCB3	20CLCD1	20CLCD2	20CLCD3	20CLCE1	20CLCE2	20CLCE3	20CTBA1	20CTBA2	20CTBA3	20CTBB1	20CTBB2	20CTBB3	20CTBC1	20CTBC2	20CTBC3	20CTBD1	20CTBD2	20CTBD3	20CTBE1	20CTBE2	20CTBE3
Litter	0.00	0.00	1.00	0.00	0.00	0.00	0.00	9.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	9.00	0.00	18.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	10.00	0.00	0.00	0.00	0.00	0.00	6.00	0.00	5.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	5.00	0.00	0.00	0.50	2.00	0.00	0.00	0.00	6.00	20.00	4.50	19.00	3.00	0.00	2.00	0.00	0.00	5.00	3.00	1.00	0.00	2.00	4.00	2.00	3.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	2.00	2.50	8.00	7.00	7.00	8.00	16.00	8.00	7.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.00	5.00	8.00	0.00	0.00	2.00	0.00	4.00	5.00	1.00	2.00	1.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.00	15.00	0.00	0.00	1.00	0.00	5.50	3.50	1.00	5.50	4.50	5.50	9.75	2.50	8.75	0.50	2.50	0.50	0.50	3.50	4.50	2.00	0.25	2.25	4.00	4.50	9.50	2.50	7.50	4.50	2.50	0.75	3.00	0.50	4.50	7.50	3.50	5.25	6.50	9.75	3.00	0.00	0.00	2.50	0.00	10.75	6.00	16.00	16.00	8.75	3.50	14.00	5.50	6.50	1.75	0.50	4.00	0.00	3.00	4.50	4.25	5.00	3.50	6.25	7.00	6.75	0.00	0.00	0.00	9.50	7.00	1.00	3.00	6.00	4.00	0.00	0.00	0.00	1.50	5.50	2.50	2.50	0.50	10.50	3.00	5.50	4.25	7.00	1.00	4.00
Rock	74.00	74.00	59.00	52.00	11.00	0.00	14.00	1.00	6.00	93.00	95.00	95.00	38.00	20.00	34.00	0.00	0.00	0.00	0.00	0.50	0.50	1.00	0.00	0.00	86.00	93.00	66.00	18.00	40.00	52.00	0.00	0.00	0.00	0.00	0.00	0.00	68.00	60.00	82.00	33.00	30.00	41.00	4.00	1.00	8.00	1.00	0.00	0.00	96.00	98.00	97.00	57.00	59.00	43.00	28.00	19.00	25.00	0.00	0.00	0.00	83.00	84.00	76.00	33.00	1.00	48.00	0.00	0.00	0.00	99.00	96.00	87.00	73.00	68.00	79.00	22.00	3.00	4.00	0.00	3.00	0.00	0.00	0.00	1.50	33.00	60.00	33.00	47.00	3.50	0.00	11.00	0.00	7.00	97.50	94.00	97.00	67.00	17.00	53.00	0.50	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	82.00	90.00	74.00	9.00	37.00	39.00	0.00	0.00	0.00	0.00	0.00	0.00	45.00	64.00	91.00	43.00	19.00	29.00	4.00	0.20	7.00	1.00	0.00	0.00	84.00	62.00	66.00	37.00	74.00	44.00	22.00	18.00	15.00	0.00	0.00	0.00	83.00	91.50	78.00	16.00	0.50	30.00	0.00	0.00	0.00	92.00	96.00	99.00	62.50	71.00	86.00	6.00	12.00	0.00	3.00	3.00	17.00	0.00	0.00	0.00	80.50	86.25	93.25	16.25	0.00	10.75	0.00	1.50	0.00	92.50	82.00	93.25	61.50	33.00	45.75	0.50	32.25	28.00	3.50	0.50	0.00	0.00	0.00	0.00	61.50	76.75	73.15	21.00	31.00	16.50	0.00	0.00	2.50	0.00	0.00	0.00	54.50	47.25	72.80	30.25	11.50	16.00	3.50	2.50	6.50	1.50	0.00	0.00	48.90	70.50	61.75	69.55	37.00	45.75	29.50	6.00	22.50	0.00	0.00	0.00	88.00	80.00	90.50	12.00	14.00	8.00	0.00	0.25	0.00	83.50	91.50	92.00	49.25	46.50	45.00	6.50	0.00	0.00	0.00	0.00	6.00	0.00	0.00	0.00
Bare ground	0.00	6.00	8.00	0.00	0.00	0.00	5.00	3.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.00	1.00	4.00	7.00	9.00	7.00	9.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	14.00	13.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	3.00	5.00	0.00	3.00	4.00	0.00	3.00	4.00	0.00	1.00	0.00	1.00	0.00	1.00	4.50	5.50	15.00	0.00	0.00	2.00	0.00	0.00	0.10	0.00	0.00	0.00	0.30	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	3.00	2.00	0.00	3.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.00	3.00	1.00	0.50	1.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.00	0.40	3.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	2.50	1.25	0.00	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.50	3.00	5.50	0.00	0.00	0.00	0.00	2.50	0.00	0.00	0.00	1.00	0.75	0.00	0.50	0.25	0.00	0.00	0.00	0.00	1.00	4.00	3.00	5.00	6.25	0.00	7.00	2.00	2.00	1.25	0.50	3.00	0.25	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	1.00	0.00	3.00	0.00	10.00	0.00	0.00	0.00	6.00	2.00	2.00	0.50	2.00	3.00	1.00	0.00	0.00	2.00	0.50	0.50	0.00	0.00	0.00
																																																																																																																																																																																																																																																												
Acetosella vulgaris	0.10							0.25	0.25		1.00															0.50																	0.50		1.00		4.00	4.00	0.10												0.50																																0.10		3.00															5.00							0.10	0.10										0.50																						0.05																									1.00				2.50																					0.75	2.50										0.25			1.50	0.10																																					
Agrostis muelleriana		2.00														35.00	8.00						18.00					4.00		9.00					0.01					0.25	0.25				0.50										1.00	0.50	1.00								0.05	0.01											13.00	2.50		1.00	11.00				3.50	31.00	2.50										1.00	5.00	0.40	9.50		2.00					36.00					4.00		0.50							3.00	1.00	0.50			0.80							0.50	0.20	0.10	5.00			1.00	0.20	0.50													1.00	0.20	0.50	6.00	8.00		3.00	4.00			1.00					0.50									0.25		0.25			0.50	3.25			6.50	0.25			24.50			4.00	1.50			3.50	0.25		2.50					0.10											1.75	0.25	0.50				0.25		0.25	0.25								2.50				0.50	0.50	0.25		2.25	7.50	0.25	7.00		0.50		0.50			
Australopyrum velutinum																																																																																																																																											0.20																																																																																				0.10																													
Brachyscome spathulata																																																	0.50	1.00																																			2.00																																							0.20																																																																																																																																
Cardamine robusta					14.00	8.00																																												0.10																																								3.50																																																		0.50																														0.10			2.50	2.75																																																																														
Carex breviculmis									2.00																				8.00		39.00																																	1.00		1.00																																																																																																																																																																																										
